Airport,Code
ABR,0.0
ABI,0.0
ADK,12.0
BQN,104.0
CAK,53.0
ALS,0.0
ABY,0.0
ALB,127.0
ABQ,146.0
AEX,0.0
ABE,112.0
APN,0.0
AMA,89.0
ANC,176.0
ANI,0.0
ATW,78.0
ACV,0.0
AVL,121.0
HTS,71.0
ASE,0.0
ATL,223.0
ACY,130.0
AGS,28.0
AUS,0.0
AUS,0.0
BFL,0.0
BWI,208.0
BGR,67.0
BRW,65.0
BTR,3.0
BPT,0.0
BLV,97.0
BLI,40.0
BJI,0.0
RDM,11.0
BET,94.0
BIL,85.0
BGM,0.0
BHM,129.0
BIS,20.0
BMI,41.0
BOI,156.0
BOS,205.0
BZN,139.0
BRD,0.0
BKG,0.0
TRI,26.0
BRO,0.0
BQK,0.0
BUF,145.0
IFP,0.0
BUR,167.0
BTV,43.0
BTM,0.0
CGI,0.0
CLD,0.0
CPR,0.0
CDC,0.0
CID,74.0
CMI,0.0
CHS,161.0
CRW,31.0
STT,152.0
CLT,214.0
CHO,0.0
CHA,51.0
CYS,0.0
MDW,203.0
ORD,215.0
CIC,0.0
STX,101.0
CVG,173.0
CKB,42.0
CLE,178.0
COD,0.0
CDB,37.0
CLL,0.0
COS,143.0
COU,0.0
CAE,69.0
CSG,0.0
CBM,0.0
GTR,0.0
CMH,172.0
LCK,100.0
CCR,0.0
USA,96.0
CDV,82.0
CRP,0.0
CEC,0.0
DAL,197.0
DFW,221.0
DAY,60.0
DAB,95.0
SCC,77.0
DEC,0.0
DRT,0.0
DEN,222.0
DSM,122.0
DET,0.0
DTW,210.0
DVL,0.0
DIK,0.0
DLG,29.0
DDC,0.0
DHN,0.0
DBQ,0.0
DLH,0.0
DRO,7.0
EGE,113.0
EAU,0.0
IPL,0.0
ELP,137.0
EKO,0.0
ELM,45.0
ERI,0.0
ESC,0.0
EUG,56.0
EVV,27.0
PAE,0.0
FAI,126.0
FAR,61.0
FMN,0.0
XNA,48.0
FAY,0.0
FLG,0.0
FNT,84.0
FLO,0.0
FNL,0.0
FOD,0.0
FLL,213.0
RSW,193.0
FSM,0.0
FWA,76.0
FAT,115.0
GNV,0.0
GCK,0.0
GCC,0.0
GCN,0.0
GFK,6.0
GRI,0.0
GJT,0.0
GRR,148.0
GTF,0.0
GRB,24.0
GSO,102.0
GLH,0.0
PGV,0.0
GSP,119.0
GUM,55.0
GPT,34.0
GUC,10.0
GST,15.0
HGR,30.0
CMX,0.0
HRL,19.0
MDT,92.0
BDL,166.0
PIB,0.0
HDN,91.0
HYS,0.0
HLN,0.0
HIB,0.0
HKY,0.0
ITO,124.0
HHH,0.0
HOB,0.0
HNL,202.0
MKK,0.0
EFD,0.0
IAH,212.0
HOU,196.0
HSV,50.0
HYA,25.0
