Airport,Lat(N),Lng(W),GMT
YAP,9.49,-138.08,10
YNG,41.25,80.66,-5
YUM,32.66,114.59,-7
ICT,37.65,97.42,-6
IPT,41.24,76.91,-5
ISN,48.17,103.63,-6
XWA,48.25,103.74,-6
ILG,39.67,75.6,-5
ILM,34.26,77.91,-5
ORH,42.26,71.87,-5
WRG,56.48,132.37,-9
YKM,46.56,120.53,-8
YAK,59.5,139.66,-9
IAD,38.95,77.45,-5
ALO,42.55,92.39,-6
ART,43.99,76.02,-5
ATY,44.92,97.16,-6
EAT,47.4,120.21,-8
ENV,40.71,114.03,-7
PBI,26.68,80.09,-5
WYS,44.68,111.11,-7
HPN,41.06,73.7,-5
SPS,33.96,98.49,-6
DUT,53.89,166.54,-10
UCA,43.14,75.38,-5
VLD,30.78,83.27,-5
VPS,30.49,86.54,-6
VEL,40.44,109.51,-7
VCT,28.84,96.92,-6
VIS,36.32,119.39,-8
ACT,31.61,97.22,-6
ALW,46.08,118.28,-8
DCA,38.85,77.04,-5
TOL,41.58,83.8,-5
FOE,38.94,95.66,-6
TVC,44.74,85.57,-5
TTN,40.27,74.81,-5
TUS,32.11,110.93,-7
TUL,36.19,95.88,-6
UTM,34.68,90.35,-6
TUP,34.26,88.76,-6
TWF,42.48,114.48,-7
TYR,32.35,95.4,-6
SHD,38.26,78.89,-5
SWO,36.15,97.08,-6
SCK,37.89,121.25,-8
SUN,43.5,114.3,-7
SYR,43.11,76.11,-5
TLH,30.39,84.34,-5
TPA,27.97,82.53,-5
TEX,37.95,107.9,-7
TXK,33.45,93.99,-6
TKI,33.17,96.59,-6
GEG,47.62,117.53,-8
SPI,39.84,89.67,-6
SGF,37.24,93.39,-6
UST,29.95,81.34,-5
STC,45.54,94.06,-6
SGU,37.03,113.5,-7
STL,38.74,90.37,-6
KSM,62.05,163.29,-9
PIE,27.91,82.68,-5
SCE,40.85,77.84,-5
AVP,41.33,75.72,-5
BFI,47.53,122.3,-8
SEA,47.45,122.3,-8
SHR,44.77,106.97,-7
SHV,32.45,93.82,-6
SUX,42.4,96.37,-6
FSD,43.58,96.74,-6
SIT,57.05,135.36,-9
SBN,41.7,86.31,-5
SKA,47.61,117.64,-8
SFB,28.77,81.23,-5
SNA,33.67,117.86,-8
SBA,34.42,119.83,-8
SAF,35.61,106.08,-8
SMX,34.9,120.44,-8
STS,38.5,122.81,-8
SRQ,27.39,82.55,-5
CIU,46.25,84.47,-5
SAV,32.12,81.2,-5
BFF,41.86,103.59,-7
SLE,44.9,123.0,-8
SLN,38.77,97.63,-6
SLC,40.78,111.97,-7
SJT,31.35,100.5,-6
