,Carrier_Code,Origin_Airport,Flight_Season,Flight_Month,Flight_Week,Flight_Day,Scheduled_Departure_Time,Actual_Departure_Time,Departure_Delay,Dep_Temp_3,Dep_Pressure_3,Dep_Humidity_3,Dep_Wind_Speed_3,Dep_Wind_Deg_3,Dep_Clouds_3,Dep_Rain_3,Airport_Abbr,Lat_N,Lng_W,GMT,Carrier_Abbr
0,3,186.0,1,2,5,1,9,9,-1.0,-1.0,6.0,5.0,1,28.0,9.0,0.0,SNA,33.67,117.86,-8.0,NK
1,3,102.0,3,6,25,22,18,18,-10.0,1.0,-3.0,10.0,4,24.0,9.0,0.0,GSO,36.1,79.93,-5.0,NK
2,3,208.0,1,2,7,20,14,14,3.0,-4.0,9.0,5.0,4,29.0,4.0,0.0,BWI,39.17,76.66,-5.0,NK
3,3,223.0,1,2,6,12,12,12,-1.0,-1.0,2.0,9.0,2,33.0,9.0,0.0,ATL,33.64,84.42,-5.0,NK
4,3,164.0,3,6,25,22,14,15,32.0,1.0,0.0,9.0,3,19.0,9.0,0.0,MYR,33.68,78.92,-5.0,NK
5,3,217.0,3,7,30,28,17,17,-5.0,0.0,3.0,9.0,0,0.0,4.0,0.0,LAX,33.94,118.4,-8.0,NK
6,3,213.0,3,7,26,3,7,7,9.0,2.0,3.0,9.0,2,17.0,7.0,0.0,FLL,26.07,80.15,-5.0,NK
7,3,213.0,2,5,19,10,13,13,1.0,2.0,4.0,8.0,4,16.0,2.0,0.0,FLL,26.07,80.15,-5.0,NK
8,3,220.0,2,3,12,23,6,6,7.0,0.0,3.0,9.0,3,36.0,4.0,0.0,MCO,28.41,81.3,-5.0,NK
9,3,220.0,3,6,22,1,14,14,0.0,1.0,8.0,7.0,4,6.0,2.0,0.0,MCO,28.41,81.3,-5.0,NK
10,3,213.0,3,7,29,21,19,19,6.0,3.0,5.0,7.0,4,15.0,2.0,0.0,FLL,26.07,80.15,-5.0,NK
11,3,217.0,2,4,13,2,21,21,6.0,0.0,4.0,5.0,4,13.0,2.0,0.0,LAX,33.94,118.4,-8.0,NK
12,3,213.0,1,2,6,11,15,15,19.0,1.0,5.0,8.0,5,13.0,7.0,0.0,FLL,26.07,80.15,-5.0,NK
13,3,204.0,3,7,30,31,18,21,185.0,1.0,4.0,7.0,4,26.0,0.0,0.0,MSP,44.88,93.22,-6.0,NK
14,3,223.0,2,5,21,28,21,22,28.0,2.0,1.0,6.0,5,21.0,7.0,0.0,ATL,33.64,84.42,-5.0,NK
15,3,101.0,2,4,15,12,16,16,6.0,2.0,3.0,5.0,5,12.0,2.0,0.0,STX,17.69,64.79,-4.0,NK
16,3,215.0,3,8,33,17,7,8,15.0,0.0,3.0,7.0,0,12.0,0.0,0.0,ORD,41.98,87.9,-6.0,NK
17,3,213.0,3,7,28,15,23,23,8.0,3.0,5.0,6.0,7,7.0,4.0,0.0,FLL,26.07,80.15,-5.0,NK
18,3,223.0,3,7,27,11,7,9,108.0,1.0,4.0,8.0,2,23.0,4.0,0.0,ATL,33.64,84.42,-5.0,NK
19,3,213.0,3,8,34,27,17,18,54.0,3.0,1.0,7.0,7,12.0,2.0,0.0,FLL,26.07,80.15,-5.0,NK
20,3,162.0,3,7,29,25,17,17,8.0,1.0,1.0,6.0,4,30.0,0.0,0.0,MKE,42.94,87.89,-6.0,NK
21,3,164.0,2,3,12,28,17,18,39.0,1.0,4.0,9.0,7,19.0,7.0,0.0,MYR,33.68,78.92,-5.0,NK
22,3,213.0,3,7,30,27,16,17,35.0,2.0,3.0,7.0,0,0.0,2.0,0.0,FLL,26.07,80.15,-5.0,NK
23,3,223.0,2,3,12,23,11,12,15.0,-1.0,5.0,6.0,4,9.0,7.0,0.0,ATL,33.64,84.42,-5.0,NK
24,3,213.0,2,5,20,22,16,17,34.0,2.0,10.0,6.0,6,7.0,7.0,0.0,FLL,26.07,80.15,-5.0,NK
25,3,221.0,3,6,24,18,17,17,38.0,2.0,2.0,6.0,5,17.0,0.0,0.0,DFW,32.89,97.04,-6.0,NK
26,3,213.0,3,6,23,10,21,22,40.0,3.0,5.0,6.0,7,13.0,2.0,0.0,FLL,26.07,80.15,-5.0,NK
27,3,220.0,2,3,12,26,11,11,23.0,1.0,6.0,9.0,3,16.0,0.0,0.0,MCO,28.41,81.3,-5.0,NK
28,3,208.0,2,5,21,29,20,20,0.0,-1.0,2.0,8.0,7,5.0,9.0,0.0,BWI,39.17,76.66,-5.0,NK
29,3,164.0,2,5,21,25,11,11,-8.0,1.0,8.0,8.0,2,17.0,4.0,0.0,MYR,33.68,78.92,-5.0,NK
30,3,220.0,2,3,11,21,12,12,20.0,-1.0,5.0,9.0,5,32.0,9.0,0.0,MCO,28.41,81.3,-5.0,NK
31,3,206.0,2,4,15,17,10,10,-5.0,1.0,-3.0,7.0,5,21.0,2.0,0.0,TPA,27.97,82.53,-5.0,NK
32,3,215.0,1,1,2,14,5,5,3.0,-3.0,-7.0,7.0,3,21.0,9.0,0.0,ORD,41.98,87.9,-6.0,NK
33,3,217.0,3,6,26,28,9,10,29.0,0.0,-7.0,8.0,3,12.0,2.0,0.0,LAX,33.94,118.4,-8.0,NK
34,3,218.0,3,6,22,2,0,1,16.0,4.0,-2.0,1.0,5,25.0,2.0,0.0,PHX,33.43,112.01,-7.0,NK
35,3,217.0,1,1,4,28,16,19,171.0,-2.0,3.0,7.0,3,12.0,7.0,0.0,LAX,33.94,118.4,-8.0,NK
36,3,213.0,2,3,9,5,8,8,2.0,0.0,2.0,8.0,3,33.0,0.0,0.0,FLL,26.07,80.15,-5.0,NK
37,3,208.0,3,6,26,30,15,17,119.0,2.0,6.0,6.0,2,22.0,2.0,0.0,BWI,39.17,76.66,-5.0,NK
38,3,221.0,3,8,33,21,19,19,4.0,3.0,1.0,6.0,1,24.0,3.0,0.0,DFW,32.89,97.04,-6.0,NK
39,3,164.0,3,7,28,17,13,13,-3.0,1.0,6.0,9.0,0,9.0,0.0,0.0,MYR,33.68,78.92,-5.0,NK
40,3,220.0,2,5,18,3,21,22,25.0,3.0,1.0,4.0,6,17.0,4.0,0.0,MCO,28.41,81.3,-5.0,NK
41,3,208.0,3,6,25,22,16,20,226.0,1.0,-6.0,8.0,4,31.0,9.0,1.0,BWI,39.17,76.66,-5.0,NK
42,3,223.0,2,4,14,5,8,9,58.0,-1.0,9.0,3.0,2,30.0,0.0,0.0,ATL,33.64,84.42,-5.0,NK
43,3,208.0,3,8,33,16,20,21,4.0,2.0,7.0,7.0,1,19.0,9.0,8.0,BWI,39.17,76.66,-5.0,NK
44,6,193.0,1,1,2,17,13,13,28.0,-1.0,4.0,8.0,2,11.0,9.0,0.0,RSW,26.53,81.75,-5.0,AA
45,6,188.0,3,8,33,22,16,17,84.0,1.0,-2.0,8.0,0,29.0,0.0,0.0,DCA,38.85,77.04,-5.0,AA
46,6,152.0,3,7,27,5,15,15,-5.0,2.0,8.0,7.0,1,11.0,8.0,0.0,STT,18.33,64.97,-4.0,AA
47,6,218.0,2,4,15,16,18,20,80.0,0.0,-3.0,2.0,2,6.0,9.0,0.0,PHX,33.43,112.01,-7.0,AA
48,6,214.0,3,6,26,30,16,18,108.0,1.0,9.0,8.0,0,17.0,0.0,0.0,CLT,35.21,80.94,-5.0,AA
49,6,217.0,3,7,28,13,9,11,95.0,1.0,-1.0,8.0,0,26.0,4.0,0.0,LAX,33.94,118.4,-8.0,AA
50,6,217.0,3,7,30,27,7,7,11.0,0.0,1.0,8.0,1,24.0,7.0,0.0,LAX,33.94,118.4,-8.0,AA
51,6,200.0,2,3,12,22,13,13,12.0,-2.0,10.0,7.0,2,18.0,7.0,0.0,BNA,36.12,86.67,-6.0,AA
52,6,191.0,3,8,32,15,22,22,-2.0,2.0,0.0,3.0,0,0.0,0.0,0.0,SMF,38.69,121.59,-8.0,AA
53,6,159.0,2,3,11,20,15,16,16.0,-3.0,14.0,7.0,4,16.0,0.0,0.0,OMA,41.3,95.89,-6.0,AA
54,6,192.0,2,3,10,12,6,5,-6.0,-1.0,11.0,4.0,1,34.0,0.0,0.0,PDX,45.58,122.59,-8.0,AA
55,6,221.0,1,1,2,13,20,20,-4.0,-2.0,7.0,5.0,5,21.0,2.0,0.0,DFW,32.89,97.04,-6.0,AA
